Date,Close/Last,Volume,Open,High,Low
09/20/2021,$62.45,11430620,$64.02,$64.4559,$61.15
09/17/2021,$66.48,7995708,$66.66,$67.05,$66.00
09/16/2021,$66.64,7308341,$64.50,$66.66,$63.96
09/15/2021,$64.62,5075941,$63.25,$64.84,$63.18
09/14/2021,$63.39,3565129,$63.65,$64.07,$62.88
09/13/2021,$63.32,2733807,$63.99,$64.01,$62.88
09/10/2021,$62.76,2654469,$63.20,$63.62,$61.93
09/09/2021,$62.91,1910215,$63.05,$63.89,$62.52
09/08/2021,$63.07,2514318,$62.42,$63.15,$61.76
09/07/2021,$62.77,3449589,$64.11,$64.20,$62.73
09/03/2021,$64.44,2722090,$64.22,$65.1651,$64.09
09/02/2021,$64.45,3140617,$65.00,$65.00,$64.06
09/01/2021,$64.52,2635320,$64.25,$64.88,$63.51
08/31/2021,$64.29,2167239,$64.38,$64.665,$64.02
08/30/2021,$64.31,2443910,$64.32,$64.975,$64.12
08/27/2021,$64.20,2705530,$64.29,$64.59,$63.84
08/26/2021,$64.23,1562343,$64.73,$64.883,$64.22
08/25/2021,$64.52,1436260,$64.38,$64.95,$64.38
08/24/2021,$64.45,1288600,$64.42,$64.85,$64.25
08/23/2021,$64.42,1690944,$63.89,$64.675,$63.82
08/20/2021,$63.31,2951857,$62.34,$63.81,$62.21
08/19/2021,$62.20,2399067,$61.92,$62.745,$61.61
08/18/2021,$63.19,1813560,$63.48,$64.2659,$63.18
08/17/2021,$63.52,2397780,$64.82,$65.40,$63.24
08/16/2021,$65.40,2147351,$65.69,$65.925,$65.20
08/13/2021,$66.04,1350457,$66.15,$66.71,$66.01
08/12/2021,$66.10,1918818,$65.60,$66.14,$65.29
08/11/2021,$65.81,2603970,$66.67,$66.75,$65.71
08/10/2021,$65.80,2918698,$66.82,$67.10,$65.74
08/09/2021,$66.84,2771388,$67.70,$67.81,$66.68
08/06/2021,$67.58,2861635,$67.56,$67.7732,$66.76
08/05/2021,$67.24,3249771,$66.80,$67.42,$66.46
08/04/2021,$66.03,2755361,$65.06,$66.24,$65.06
08/03/2021,$64.80,2888361,$65.57,$65.73,$63.40
08/02/2021,$63.54,2504605,$64.23,$64.39,$63.425
07/30/2021,$63.76,2666099,$63.39,$64.31,$63.34
07/29/2021,$63.81,2273923,$62.40,$64.18,$62.15
07/28/2021,$62.45,1427899,$62.61,$62.68,$61.65
07/27/2021,$62.33,1773871,$61.61,$62.91,$61.19
07/26/2021,$61.83,1577487,$61.495,$62.07,$61.02
07/23/2021,$61.42,2369241,$60.74,$62.32,$60.74
07/22/2021,$60.71,2556474,$59.66,$60.83,$59.34
07/21/2021,$59.38,1209483,$58.96,$59.64,$58.79
07/20/2021,$58.56,2527335,$57.74,$58.97,$57.44
07/19/2021,$57.37,1888076,$57.08,$57.76,$56.80
07/16/2021,$58.24,1116683,$59.15,$59.20,$58.17
07/15/2021,$58.82,1466979,$58.69,$59.32,$58.31
07/14/2021,$58.91,1289586,$59.48,$59.68,$58.64
07/13/2021,$59.41,1112751,$61.11,$61.47,$59.3831
07/12/2021,$60.46,2199623,$59.80,$60.58,$59.06
07/09/2021,$59.10,1701454,$58.60,$59.21,$58.06
07/08/2021,$58.03,1706131,$58.22,$58.62,$57.46
07/07/2021,$59.37,1981443,$59.95,$60.06,$58.89
07/06/2021,$59.93,1473430,$59.85,$60.13,$59.435
07/02/2021,$59.79,1286666,$59.96,$60.08,$59.61
07/01/2021,$59.75,2014224,$59.45,$59.94,$59.249
06/30/2021,$59.24,2327800,$60.16,$60.2543,$59.23
06/29/2021,$60.38,1954385,$60.60,$61.05,$60.285
06/28/2021,$60.52,1676318,$60.92,$61.00,$59.68
06/25/2021,$60.76,3100750,$60.29,$61.05,$60.06
06/24/2021,$60.13,1953021,$59.91,$60.19,$59.16
06/23/2021,$59.36,2311843,$58.74,$59.88,$58.50
06/22/2021,$58.56,3262224,$58.00,$58.70,$57.67
06/21/2021,$57.90,3554106,$56.92,$57.935,$56.45
06/18/2021,$56.39,5646402,$56.44,$56.655,$55.66
06/17/2021,$57.14,5336957,$57.16,$57.82,$56.06
06/16/2021,$57.03,5276281,$56.06,$57.04,$55.74
06/15/2021,$55.69,1993280,$55.30,$55.81,$54.67
06/14/2021,$55.29,3437637,$56.56,$56.6999,$55.27
06/11/2021,$56.50,3217065,$56.33,$56.51,$55.825
06/10/2021,$56.02,3052147,$55.68,$56.36,$55.39
06/09/2021,$55.28,3343529,$55.27,$55.68,$55.07
06/08/2021,$55.30,3799895,$54.22,$55.37,$53.88
06/07/2021,$54.13,3537861,$55.44,$55.55,$53.92
06/04/2021,$55.40,1257432,$55.64,$55.93,$55.06
06/03/2021,$55.59,2057706,$54.67,$55.73,$54.50
06/02/2021,$55.00,1838379,$55.73,$55.82,$54.95
06/01/2021,$55.73,2059945,$56.33,$56.69,$55.68
05/28/2021,$55.69,2246986,$55.86,$55.93,$55.29
05/27/2021,$55.70,3960153,$55.50,$55.88,$55.25
05/26/2021,$55.53,2751185,$55.50,$55.73,$55.18
05/25/2021,$55.58,3121710,$55.66,$56.39,$55.53
05/24/2021,$55.32,2066322,$55.50,$55.64,$54.89
05/21/2021,$55.24,2281779,$55.66,$55.85,$55.095
05/20/2021,$55.39,2200409,$55.00,$55.80,$54.91
05/19/2021,$54.80,1700231,$54.12,$54.84,$53.78
05/18/2021,$54.99,2849322,$55.65,$56.00,$54.95
05/17/2021,$55.44,1987001,$55.92,$56.1667,$55.14
05/14/2021,$56.14,2315057,$55.33,$56.36,$55.00
05/13/2021,$55.12,2755070,$54.35,$55.32,$54.2735
05/12/2021,$54.10,2906968,$56.10,$56.32,$53.97
05/11/2021,$56.27,2471688,$56.29,$56.9993,$55.74
05/10/2021,$57.09,2747022,$58.65,$58.78,$57.08
05/07/2021,$58.72,2574851,$57.59,$59.15,$57.33
05/06/2021,$57.68,4897989,$58.23,$58.64,$55.58
05/05/2021,$58.11,2251739,$56.32,$58.18,$56.11
05/04/2021,$55.63,3106617,$55.75,$56.91,$55.29
05/03/2021,$56.27,2123121,$57.01,$57.045,$56.27
04/30/2021,$56.58,3011475,$56.80,$56.91,$56.10
04/29/2021,$56.81,1878048,$57.18,$57.18,$56.23
04/28/2021,$56.71,1414885,$56.67,$56.77,$56.39
04/27/2021,$56.64,1252739,$55.69,$56.67,$55.46
04/26/2021,$55.57,1882777,$55.21,$55.62,$54.855
04/23/2021,$55.10,2142114,$53.87,$55.325,$53.71
04/22/2021,$53.72,2923680,$53.26,$54.13,$52.95
04/21/2021,$53.10,1843512,$52.62,$53.14,$52.26
04/20/2021,$52.60,2787678,$52.90,$53.19,$52.22
04/19/2021,$53.31,1821708,$53.28,$53.53,$53.02
04/16/2021,$53.31,2430794,$53.04,$53.50,$52.555
04/15/2021,$52.92,2103272,$53.55,$53.66,$52.69
